,,,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.4. Crepuscular rays at sunset,"By 鳴神響一 （Kyoichi Narukami） - Own work, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=17914256",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.5. Cloud Shadows imaged from above (NASA photograph).,"By NASA's Earth Observatory - Crepuscular Rays, India, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=20106950",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.6. Anticrepuscular rays (Wikipedia) ,"By Wojtow - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15903390",,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 4.7. Crepuscular Rays in St Peter’s Basilica, Rome (Wikipaedia)","Jraytram at en.wikipedia, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.8. Fresnel theory. (a) Plane waves of light can be represented by a number of point sources along the wavefront. (b) Diffraction through an aperture.,"https://app.diagrams.net/#G1rnvP6yNFMQfxBYc3bi-D1YfvOTrZVTxg#%7B%22pageId%22%3A%22dqFLXqpdQX50fr8lUkzr%22%7D
https://drive.google.com/file/d/1qkN1SVi9gUEv6VkuAFmmXZqH7zLU-z7c/view?usp=drive_link
https://drive.google.com/file/d/1gb2_nULXqXjhq-4NNUssCBNBONiYwCic/view?usp=drive_link
",Original image created in gimp is low res,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 4.9. Two point sources of light together form a dipole, which gives rise to patterns of interference.",https://pmt.physicsandmathstutor.com/download/Physics/A-level/Notes/OCR-A-Old/Unit-2/Set-A/2.4.3%20Interference%20A.pdf,Possible copyright issue. from page 3,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.10. The polarisation pattern around the sun,Very poor quality - taken from here: https://media.neliti.com/media/publications/119624-ID-estimasi-citra-polarisasi-langit.pdf,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.11. Laser light multiply scattered by particles gives rise to a random distribution of intensity.,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.12  The Mexican Hat function  OUP:  THERE ARE LOTS OF THESE ONLINE https://www.researchgate.net/publication/262569642_Wavelet_neural_network_applied_for_prognostication_of_contact_pressure_between_soil_and_driving_wheel/figures,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.13 Variation of energy/intensity with distance from the origin,From original manuscript,Look hand drawdawn - needs to be redone?,,,,,,,,,,,,,,,,,,,,,,
,Fig.4.14. Refracted and reflected rays with the direction of the electric field.,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 5 Why do Aeroplanes fly?,,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 5.1. The Airbus 380   OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,"https://www.facebook.com/photo/?fbid=10152531480905695&set=p.10152531480905695
https://www.emirates.com/media-centre/emirates-to-receive-final-a380-in-november/",,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 5.2. Flow around a flat sheet for the case of zero viscosity. (a) the flow underneath the sheet is forced to curve but the flow above is unaltered. (b)  pressure distribution along the dotted line (ABC), showing high pressure under the sheet which generates lift.",https://app.diagrams.net/#G1YqnCAaoJet87My_e2eurXgPpBuLSjyfF#%7B%22pageId%22%3A%22V66Bhv1ebts-oHv5Mihi%22%7D,,,,,,,,,,,,,,,,,,,,,,,
